,id,name,img,Winery,country,regions,grapes,cat,Bold,Tannic,Sweet,Acidic,flavours,keyword
10,10,Tokaji Aszú 5 Puttonyos 2013,//images.vivino.com/thumbs/Ys-_l45SQQeQpEdZaAnY9w_pb_x600.png,Oremus,Hungary,Tokaj  ,Furmint  ,HungarianTokajiAszú Dessertwine Furmint,,,,,oaky earthy spices floral dried fruit ageing yeasty citrus tree fruit,Tokaj   Furmint   HungarianTokajiAszú Dessertwine Furmint     oaky earthy spices floral dried fruit ageing yeasty citrus tree fruit
11,11,Aszú 6 puttonyos 2008,//images.vivino.com/thumbs/120u_uuVTvG1WDqalE2MFA_pb_x600.png,Château Dereszla,Hungary,Tokaj  ,Furmint  ,HungarianTokajiAszú Dessertwine Furmint,,,,,earthy citrus tree fruit,Tokaj   Furmint   HungarianTokajiAszú Dessertwine Furmint     earthy citrus tree fruit
12,12,Ben Ryé Passito di Pantelleria 2014,//images.vivino.com/thumbs/tWuXrj0nRZCum1ezynysLA_pb_x600.png,Donnafugata,Italy,TerreSiciliane MoscatodiPantelleria PassitodiPantelleria,Zibibbo  , Dessertwine Zibibbo,,,,,oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty citrus tree fruit,TerreSiciliane MoscatodiPantelleria PassitodiPantelleria Zibibbo    Dessertwine Zibibbo     oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty citrus tree fruit
13,13,Gewürztraminer Sélection de Grains Nobles 1998,//images.vivino.com/thumbs/rioaoiW7S8aDvJqXnVHm4g_150x200.jpg,Leon Beyer,France,Alsace  ,Gewürztraminer  ,AlsaceGewürztraminer Dessertwine Gewürztraminer,,,,,,Alsace   Gewürztraminer   AlsaceGewürztraminer Dessertwine Gewürztraminer     
14,14,Gewurztraminer Alsace Selection de Grains Nobles 2001,//images.vivino.com/thumbs/dbRrDDx5SFWirDOUJsLp5g_pb_x600.png,Trimbach,France,Alsace  ,Gewürztraminer  ,AlsaceGewürztraminer Dessertwine Gewürztraminer,Bold5,,Dry4,Soft3,earthy,Alsace   Gewürztraminer   AlsaceGewürztraminer Dessertwine Gewürztraminer Bold5  Dry4 Soft3 earthy
15,15,Barsac (Premier Grand Cru Classé) 2016,//images.vivino.com/thumbs/nA-TeA6IRL6ITv-2DPy8rw_pb_x600.png,Château Climens,France,Bordeaux Sauternes Barsac,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy spices floral dried fruit ageing yeasty citrus tree fruit,Bordeaux Sauternes Barsac Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy spices floral dried fruit ageing yeasty citrus tree fruit
16,16,Tokaji Aszú Eszencia 1999,//images.vivino.com/thumbs/6Mz5mgAsTKCKN-7Jd80fFQ_pb_x600.png,Disznókó,Hungary,Tokaj  ,Furmint  , Dessertwine Furmint,,,,,oaky dried fruit,Tokaj   Furmint    Dessertwine Furmint     oaky dried fruit
17,17,Sauternes (Premier Grand Cru Classé) 2005,//images.vivino.com/thumbs/seeWxpDkRimnnDRRdUoRDQ_pb_x600.png,Château Guiraud,France,Bordeaux Sauternes ,SauvignonBlanc Sémillon ,BordeauxSauternes Dessertwine Blend,Bold8,,Sweet8,Acidic7,oaky earthy black fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit,Bordeaux Sauternes  SauvignonBlanc Sémillon  BordeauxSauternes Dessertwine Blend Bold8  Sweet8 Acidic7 oaky earthy black fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit
18,18,Sauternes (Premier Grand Cru Classé) 1989,//images.vivino.com/thumbs/yyAgH9OpQjKEBxg1N1RBmA_pb_x600.png,Château Suduiraut,France,Bordeaux Sauternes ,SauvignonBlanc Sémillon ,BordeauxSauternes Dessertwine Blend,Bold8,,Sweet8,Acidic7,oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit,Bordeaux Sauternes  SauvignonBlanc Sémillon  BordeauxSauternes Dessertwine Blend Bold8  Sweet8 Acidic7 oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit
19,19,Sauternes (Premier Grand Cru Classé) 2010,//images.vivino.com/thumbs/yyAgH9OpQjKEBxg1N1RBmA_pb_x600.png,Château Suduiraut,France,Bordeaux Sauternes ,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit,Bordeaux Sauternes  Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit
20,20,Tokaji Aszú 5 Puttonyos 2007,//images.vivino.com/thumbs/Ys-_l45SQQeQpEdZaAnY9w_pb_x600.png,Oremus,Hungary,Tokaj  ,Furmint  ,HungarianTokajiAszú Dessertwine Furmint,,,,,oaky earthy spices floral dried fruit ageing yeasty citrus tree fruit,Tokaj   Furmint   HungarianTokajiAszú Dessertwine Furmint     oaky earthy spices floral dried fruit ageing yeasty citrus tree fruit
21,21,Tokaji Aszú 3 Puttonyos 2014,//images.vivino.com/thumbs/uqzOXD3lRViAJ7vkZq2Iww_pb_x600.png,Oremus,Hungary,Tokaj  ,Hárslevelű Furmint ,HungarianTokajiAszú Dessertwine Blend,,,,,oaky earthy dried fruit ageing yeasty citrus tree fruit,Tokaj   Hárslevelű Furmint  HungarianTokajiAszú Dessertwine Blend     oaky earthy dried fruit ageing yeasty citrus tree fruit
22,22,Tokaji Aszú 6 Puttonyos 2002,//images.vivino.com/thumbs/ga49QVi8TROAuuppZ--QVQ_pb_x600.png,Disznókó,Hungary,Tokaj  ,Furmint  ,HungarianTokajiAszú Dessertwine Furmint,,,,,oaky earthy dried fruit ageing yeasty citrus tree fruit,Tokaj   Furmint   HungarianTokajiAszú Dessertwine Furmint     oaky earthy dried fruit ageing yeasty citrus tree fruit
23,23,Sauternes (Premier Grand Cru Classé) 2015,//images.vivino.com/thumbs/yyAgH9OpQjKEBxg1N1RBmA_pb_x600.png,Château Suduiraut,France,Bordeaux Sauternes ,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit,Bordeaux Sauternes  Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit
24,24,Barsac (Premier Grand Cru Classé) 2007,//images.vivino.com/thumbs/nA-TeA6IRL6ITv-2DPy8rw_pb_x600.png,Château Climens,France,Bordeaux Sauternes Barsac,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy spices floral dried fruit ageing yeasty citrus tree fruit,Bordeaux Sauternes Barsac Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy spices floral dried fruit ageing yeasty citrus tree fruit
25,25,No. 2 Victoria 2018,//images.vivino.com/thumbs/s70_zYsITfSv1rWz8OjDfA_pb_x600.png,Jorge Ordóñez,Spain,Andalucía Málaga ,MoscateldeAlejandría  , Dessertwine MoscateldeAlejandría,,,,,oaky earthy floral citrus tree fruit,Andalucía Málaga  MoscateldeAlejandría    Dessertwine MoscateldeAlejandría     oaky earthy floral citrus tree fruit
26,26,Sélection de Grains Nobles Côteaux du Layon 2010,//images.vivino.com/thumbs/-10oROPSRKSMwZYYa4p3jQ_pb_x600.png,Domaine Philippe Delesvaux,France,LoireValley MiddleLoire CôteauxduLayon,CheninBlanc  ,LoireCheninBlanc Dessertwine CheninBlanc,Light4,,Sweet5,Acidic5,,LoireValley MiddleLoire CôteauxduLayon CheninBlanc   LoireCheninBlanc Dessertwine CheninBlanc Light4  Sweet5 Acidic5 
27,27,A Centenaria 2017,//images.vivino.com/thumbs/SBWNiVwpT4as6otyQW78PQ_pb_x600.png,Antonio Madeira,Portugal,Beiras Dão ,TintaAmarela  , Dessertwine TintaAmarela,,,,,,Beiras Dão  TintaAmarela    Dessertwine TintaAmarela     
28,28,Sauternes 2007,//images.vivino.com/thumbs/G3BbcHBuTvW8CKw0xgyiFQ_pb_x600.png,Château Raymond-Lafon,France,Bordeaux Sauternes ,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy floral dried fruit ageing yeasty citrus tree fruit,Bordeaux Sauternes  Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy floral dried fruit ageing yeasty citrus tree fruit
29,29,Sauternes (Premier Grand Cru Classé) 2013,//images.vivino.com/thumbs/yyAgH9OpQjKEBxg1N1RBmA_pb_x600.png,Château Suduiraut,France,Bordeaux Sauternes ,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit,Bordeaux Sauternes  Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit
30,30,Sauternes 2003,//images.vivino.com/thumbs/G3BbcHBuTvW8CKw0xgyiFQ_pb_x600.png,Château Raymond-Lafon,France,Bordeaux Sauternes ,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy floral dried fruit ageing yeasty citrus tree fruit,Bordeaux Sauternes  Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy floral dried fruit ageing yeasty citrus tree fruit
31,31,Sauternes (Premier Grand Cru Classé) 2017,//images.vivino.com/thumbs/yyAgH9OpQjKEBxg1N1RBmA_pb_x600.png,Château Suduiraut,France,Bordeaux Sauternes ,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit,Bordeaux Sauternes  Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit
32,32,Barsac (Premier Grand Cru Classé) 2008,//images.vivino.com/thumbs/nA-TeA6IRL6ITv-2DPy8rw_pb_x600.png,Château Climens,France,Bordeaux Sauternes Barsac,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy spices floral dried fruit ageing yeasty citrus tree fruit,Bordeaux Sauternes Barsac Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy spices floral dried fruit ageing yeasty citrus tree fruit
33,33,Optima Late Harvest Totally Botrytis Affected 2014,//images.vivino.com/thumbs/yFTcdQIaTuKnigqcvNw2mw_pb_x600.png,Quails' Gate,Canada,BritishColumbia OkanaganValley ,Optima  , Dessertwine Optima,,,,,earthy citrus tree fruit,BritishColumbia OkanaganValley  Optima    Dessertwine Optima     earthy citrus tree fruit
34,34,Monzinger Halenberg Riesling Auslese 2005,//images.vivino.com/thumbs/qNx62FlOQoOnoct4MKiVsQ_pb_x600.png,Emrich-Schönleber,Germany,Nahe  ,Riesling  ,GermanRiesling Dessertwine Riesling,Bold5,,Sweet5,Acidic7,,Nahe   Riesling   GermanRiesling Dessertwine Riesling Bold5  Sweet5 Acidic7 
35,35,Sauternes (Premier Grand Cru Classé) 2014,//images.vivino.com/thumbs/yyAgH9OpQjKEBxg1N1RBmA_pb_x600.png,Château Suduiraut,France,Bordeaux Sauternes ,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit,Bordeaux Sauternes  Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit
36,36,Sauternes 2005,//images.vivino.com/thumbs/G3BbcHBuTvW8CKw0xgyiFQ_pb_x600.png,Château Raymond-Lafon,France,Bordeaux Sauternes ,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy floral dried fruit ageing yeasty citrus tree fruit,Bordeaux Sauternes  Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy floral dried fruit ageing yeasty citrus tree fruit
37,37,Sauternes (Premier Grand Cru Classé) 2013,//images.vivino.com/thumbs/seeWxpDkRimnnDRRdUoRDQ_pb_x600.png,Château Guiraud,France,Bordeaux Sauternes ,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy black fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit,Bordeaux Sauternes  Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy black fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit
38,38,Sauternes (Premier Grand Cru Classé) 2016,//images.vivino.com/thumbs/yyAgH9OpQjKEBxg1N1RBmA_pb_x600.png,Château Suduiraut,France,Bordeaux Sauternes ,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit,Bordeaux Sauternes  Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit
39,39,Vinsanto 2004,//images.vivino.com/thumbs/X57PqexxRLiloMbAr1q5gA_pb_x600.png,Domaine Sigalas,Greece,AegeanSea Cyclades Santorini,Assyrtiko  , Dessertwine Assyrtiko,,,,,oaky earthy dried fruit ageing citrus,AegeanSea Cyclades Santorini Assyrtiko    Dessertwine Assyrtiko     oaky earthy dried fruit ageing citrus
40,40,Tokaji Kësõi Szüret Late Harvest 2018,//images.vivino.com/thumbs/YLag7u0LSUKmxL9sAGHo_Q_pb_x600.png,Disznókó,Hungary,Tokaj  ,Furmint  , Dessertwine Furmint,,,,,oaky earthy dried fruit ageing yeasty citrus tree fruit,Tokaj   Furmint    Dessertwine Furmint     oaky earthy dried fruit ageing yeasty citrus tree fruit
41,41,Arbois Vin Jaune 2006,//images.vivino.com/thumbs/6AgukvbQTjeMpmw49_ctDw_pb_x600.png,Domaine Jacques Puffeney,France,Jura CôtesduJura Arbois,Savagnin  ,JuraVinJaune Dessertwine Savagnin,Bold7,,Dry0,Acidic6,ageing,Jura CôtesduJura Arbois Savagnin   JuraVinJaune Dessertwine Savagnin Bold7  Dry0 Acidic6 ageing
42,42,Zeltinger Sonnenuhr Riesling Auslese 2013,//images.vivino.com/thumbs/Q35O3i7cTQiTx22rAFHX2w_pb_x600.png,Selbach-Oster,Germany,Mosel  ,Riesling  ,GermanRiesling Dessertwine Riesling,Bold5,,Sweet5,Acidic6,earthy citrus tree fruit,Mosel   Riesling   GermanRiesling Dessertwine Riesling Bold5  Sweet5 Acidic6 earthy citrus tree fruit
43,43,Botrytised Riesling 2017,//images.vivino.com/thumbs/Jh4YDwxUQNWvcKIt2lQOow_pb_x600.png,Forrest Wines,New Zealand,SouthIsland Marlborough ,Riesling  ,NewZealandRiesling Dessertwine Riesling,Light4,,Dry4,Acidic5,earthy tree fruit,SouthIsland Marlborough  Riesling   NewZealandRiesling Dessertwine Riesling Light4  Dry4 Acidic5 earthy tree fruit
44,44,Vin de Paille Côtes du Jura 2011,//images.vivino.com/thumbs/eHK72B3yStqwiPRgcf4F0g_pb_x600.png,Berthet Bondet,France,Jura CôtesduJura ,Chardonnay Savagnin Poulsard, Dessertwine Blend,,,,,,Jura CôtesduJura  Chardonnay Savagnin Poulsard  Dessertwine Blend     
45,45,Tokaji Furmint Sweet 2013,//images.vivino.com/thumbs/KmiVS_jNR_-4gVj3vKMIDA_150x200.jpg,Gróf Degenfeld,Hungary,Tokaj  ,Furmint  , Dessertwine Furmint,,,,,,Tokaj   Furmint    Dessertwine Furmint     
46,46,Cuvée Beerenauslese 2017,//images.vivino.com/thumbs/TMqPN70sRmW1kphocWPTqA_pb_x600.png,Kracher,Austria,Weinland Burgenland ,Welschriesling  , Dessertwine Welschriesling,,,,,oaky earthy floral dried fruit ageing yeasty citrus tree fruit,Weinland Burgenland  Welschriesling    Dessertwine Welschriesling     oaky earthy floral dried fruit ageing yeasty citrus tree fruit
47,47,11 Filari Primitivo di Manduria Dolce Naturale 2011,//images.vivino.com/thumbs/mDf6W-0xT5yTyqIiqLhnhg_pb_x600.png,San Marzano,Italy,Puglia PrimitivodiManduria ,Primitivo  , Dessertwine Primitivo,,,,,oaky black fruit red fruit,Puglia PrimitivodiManduria  Primitivo    Dessertwine Primitivo     oaky black fruit red fruit
48,48,Sauternes 2008,//images.vivino.com/thumbs/hoEQT36-THWCzSN3C9cIEQ_pb_x600.png,Château Cantegril,France,Bordeaux Sauternes ,SauvignonBlanc Sémillon Muscadelle,BordeauxSauternes Dessertwine Blend,Bold8,,Sweet8,Acidic7,oaky earthy floral ageing yeasty citrus tree fruit,Bordeaux Sauternes  SauvignonBlanc Sémillon Muscadelle BordeauxSauternes Dessertwine Blend Bold8  Sweet8 Acidic7 oaky earthy floral ageing yeasty citrus tree fruit
49,49,Dolç de Mendoza 2014,//images.vivino.com/thumbs/2luQYyVBRli7faQOl1Prjw_pb_x600.png,Enrique Mendoza,Spain,Valencia Alicante ,Shiraz/Syrah  , Dessertwine Shiraz/Syrah,,,,,oaky,Valencia Alicante  Shiraz/Syrah    Dessertwine Shiraz/Syrah     oaky
50,50,Vi De Glass Gewürztraminer 2018,//images.vivino.com/thumbs/QyzxTRd-SaSNgRyj_NqU_w_pb_x600.png,Gramona,Spain,Catalunya  ,Gewürztraminer  , Dessertwine Gewürztraminer,,,,,earthy,Catalunya   Gewürztraminer    Dessertwine Gewürztraminer     earthy
51,51,Vin de Paille Côtes du Jura 2015,//images.vivino.com/thumbs/eHK72B3yStqwiPRgcf4F0g_pb_x600.png,Berthet Bondet,France,Jura CôtesduJura ,Chardonnay Savagnin Poulsard, Dessertwine Blend,,,,,,Jura CôtesduJura  Chardonnay Savagnin Poulsard  Dessertwine Blend     
52,52,Il Mio Appassimento Segreto Rosso 2013,//images.vivino.com/thumbs/usfAMmVJTUuvb2DRO-1KPQ_150x200.jpg,Contessa Carola,Italy,Puglia  ,Negroamaro  , Dessertwine Negroamaro,,,,,oaky black fruit red fruit,Puglia   Negroamaro    Dessertwine Negroamaro     oaky black fruit red fruit
53,53,Réserve Sauternes 2014,//images.vivino.com/thumbs/GbQyabHJTDuu2N5IKsL1-Q_pb_x600.png,Mouton Cadet,France,Bordeaux Sauternes ,SauvignonBlanc Sémillon Muscadelle,BordeauxSauternes Dessertwine Blend,Bold8,,Sweet8,Acidic7,oaky earthy black fruit floral dried fruit ageing yeasty citrus tree fruit,Bordeaux Sauternes  SauvignonBlanc Sémillon Muscadelle BordeauxSauternes Dessertwine Blend Bold8  Sweet8 Acidic7 oaky earthy black fruit floral dried fruit ageing yeasty citrus tree fruit
54,54,Sauternes 2006,//images.vivino.com/thumbs/G3BbcHBuTvW8CKw0xgyiFQ_pb_x600.png,Château Raymond-Lafon,France,Bordeaux Sauternes ,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy floral dried fruit ageing yeasty citrus tree fruit,Bordeaux Sauternes  Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy floral dried fruit ageing yeasty citrus tree fruit
55,55,Sauternes 2008,//images.vivino.com/thumbs/G3BbcHBuTvW8CKw0xgyiFQ_pb_x600.png,Château Raymond-Lafon,France,Bordeaux Sauternes ,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy floral dried fruit ageing yeasty citrus tree fruit,Bordeaux Sauternes  Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy floral dried fruit ageing yeasty citrus tree fruit
56,56,Sauternes 2004,//images.vivino.com/thumbs/G3BbcHBuTvW8CKw0xgyiFQ_pb_x600.png,Château Raymond-Lafon,France,Bordeaux Sauternes ,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy floral dried fruit ageing yeasty citrus tree fruit,Bordeaux Sauternes  Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy floral dried fruit ageing yeasty citrus tree fruit
57,57,Electra White (California Moscato) 2011,//images.vivino.com/thumbs/67gPkPAKRU2GP2AganYKRg_pb_x600.png,Quady,United States,California CentralValley Madera,OrangeMuscat  , Dessertwine OrangeMuscat,,,,,earthy citrus tree fruit,California CentralValley Madera OrangeMuscat    Dessertwine OrangeMuscat     earthy citrus tree fruit
58,58,Réserve Sauternes 2014,//images.vivino.com/thumbs/CnyZft0WQa-6QBFYzxOOIQ_pb_x600.png,Thomas Barton,France,Bordeaux Sauternes ,SauvignonBlanc Sémillon ,BordeauxSauternes Dessertwine Blend,Bold8,,Sweet8,Acidic7,tree fruit,Bordeaux Sauternes  SauvignonBlanc Sémillon  BordeauxSauternes Dessertwine Blend Bold8  Sweet8 Acidic7 tree fruit
59,59,Sauternes (Premier Grand Cru Classé) 2018,//images.vivino.com/thumbs/yyAgH9OpQjKEBxg1N1RBmA_pb_x600.png,Château Suduiraut,France,Bordeaux Sauternes ,Sémillon  ,BordeauxSauternes Dessertwine Sémillon,Bold8,,Sweet8,Acidic7,oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit,Bordeaux Sauternes  Sémillon   BordeauxSauternes Dessertwine Sémillon Bold8  Sweet8 Acidic7 oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal citrus tree fruit
60,60,Riesling Eiswein 2008,//images.vivino.com/thumbs/COP6vue4SiOJ5rcbLcAloQ_pb_x600.png,Schloss Johannisberg,Germany,Rheingau  ,Riesling  ,GermanRiesling Dessertwine Riesling,Light4,,Dry3,Acidic6,,Rheingau   Riesling   GermanRiesling Dessertwine Riesling Light4  Dry3 Acidic6 
61,61,Gewürztraminer Vendanges Tardives 2017,//images.vivino.com/thumbs/N4S3XGn_TT-nYdtchC5wGA_150x200.jpg,Leon Beyer,France,Alsace  ,Gewürztraminer  ,AlsaceGewürztraminer Dessertwine Gewürztraminer,Light4,,Sweet5,Soft2,earthy,Alsace   Gewürztraminer   AlsaceGewürztraminer Dessertwine Gewürztraminer Light4  Sweet5 Soft2 earthy
